Indicator,Company,Year,Value,Category,Category 2
     - Accumulated depreciation,BHN,2020,-6.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,BHN,2021,-7.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,BHN,2022,-8.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SAB,2020,-27.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SAB,2021,-26.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SAB,2022,-30.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SCD,2022,-1.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SMB,2020,-2.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SMB,2021,-3.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated depreciation,SMB,2022,-3.0,ASSETS,   B. LONG-TERM ASSETS
     - Accumulated retained earning at the end of the previous period,BHN,2020,901.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,BHN,2021,26.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,BHN,2022,324.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SAB,2020,7804.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SAB,2021,10133.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SAB,2022,10484.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SCD,2020,1.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SCD,2021,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SCD,2022,-33.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SMB,2020,68.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SMB,2021,86.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,SMB,2022,108.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,VCF,2020,279.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,VCF,2021,338.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,VCF,2022,834.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,HAD,2020,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,HAD,2021,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,THB,2020,6.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,THB,2021,6.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,THB,2022,6.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,VDL,2020,36.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,VDL,2021,47.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,VDL,2022,50.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,HAT,2020,5.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,HAT,2021,1.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Accumulated retained earning at the end of the previous period,HAT,2022,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,BHN,2020,2318.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,BHN,2021,2318.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,BHN,2022,2318.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SAB,2020,6413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SAB,2021,6413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SAB,2022,6413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SCD,2020,85.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SCD,2021,85.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SCD,2022,85.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SMB,2020,298.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SMB,2021,298.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,SMB,2022,298.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,VCF,2020,266.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,VCF,2021,266.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,VCF,2022,266.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,HAD,2020,40.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,HAD,2021,40.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,HAD,2022,40.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,THB,2020,114.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,THB,2021,114.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,THB,2022,114.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,VDL,2020,147.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,VDL,2021,147.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,VDL,2022,147.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,HAT,2020,31.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,HAT,2021,31.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Common stock with voting right,HAT,2022,31.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Cost,BHN,2020,12.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,BHN,2021,12.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,BHN,2022,12.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SAB,2020,93.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SAB,2021,68.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SAB,2022,183.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SCD,2020,24.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SCD,2021,2.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SCD,2022,114.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SMB,2020,10.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SMB,2021,10.0,ASSETS,   B. LONG-TERM ASSETS
     - Cost,SMB,2022,10.0,ASSETS,   B. LONG-TERM ASSETS
     - Undistributed earnings in this period,BHN,2020,647.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,BHN,2021,301.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,BHN,2022,439.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SAB,2020,4571.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SAB,2021,3523.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SAB,2022,5081.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SCD,2020,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SCD,2021,-36.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SCD,2022,-49.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SMB,2020,54.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SMB,2021,84.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,SMB,2022,106.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,VCF,2020,724.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,VCF,2021,413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,VCF,2022,319.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,HAD,2020,8.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,HAD,2021,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,HAD,2022,11.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,THB,2020,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,THB,2021,6.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,THB,2022,10.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,VDL,2020,11.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,VDL,2021,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,VDL,2022,-16.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,HAT,2020,9.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,HAT,2021,1.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     - Undistributed earnings in this period,HAT,2022,17.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
      - Accumulated depreciation,BHN,2020,-6799.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,BHN,2021,-7239.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,BHN,2022,-7625.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,BHN,2020,-48.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,BHN,2021,-60.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,BHN,2022,-74.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2020,-7022.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2021,-7546.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2022,-8071.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2020,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2021,-6.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2022,-11.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2020,-159.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2021,-170.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SAB,2022,-180.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2020,-55.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2021,-56.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2022,-58.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2020,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2021,-6.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2022,-11.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2020,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2021,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SCD,2022,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SMB,2020,-1081.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SMB,2021,-1149.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SMB,2022,-1198.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SMB,2020,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SMB,2021,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,SMB,2022,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VCF,2020,-631.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VCF,2021,-695.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VCF,2022,-712.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VCF,2020,-2.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VCF,2021,-2.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VCF,2022,-2.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAD,2020,-267.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAD,2021,-275.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAD,2022,-278.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAD,2020,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAD,2021,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAD,2022,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,THB,2020,-493.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,THB,2021,-510.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,THB,2022,-520.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,THB,2020,-4.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,THB,2021,-4.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,THB,2022,-4.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VDL,2020,-74.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VDL,2021,-81.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VDL,2022,-87.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VDL,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,VDL,2021,0.0,ASSETS,   B. LONG-TERM ASSETS
