Company,Year,Gross profit,Total assets
BHN,2020,-19.44,-1.13
BHN,2021,-14.31,-7.76
BHN,2022,36.35,2.05
HAD,2020,-1.3,-8.75
HAD,2021,-26.06,-3.31
HAD,2022,46.09,5.19
HAT,2020,-20.08,5.38
HAT,2021,-49.5,-20.46
HAT,2022,252.21,36.53
SAB,2020,-21.98,3.06
SAB,2021,-21.0,22.74
SAB,2022,83.12,26.1
SCD,2020,-42.98,65.53
SCD,2021,-49.83,-9.37
SCD,2022,58.54,60.95
SMB,2020,-7.71,0.83
SMB,2021,1.24,16.54
SMB,2022,18.44,4.42
THB,2020,6.23,2.63
THB,2021,-11.07,1.8
THB,2022,-8.27,1.74
VCF,2020,2.99,-4.2
VCF,2021,-37.61,-8.73
VCF,2022,-11.1,8.26
VDL,2020,-22.26,-16.8
VDL,2021,-33.27,6.88
VDL,2022,-67.96,-10.54
